# HC-regime movers, test year 2019 — auto-generated by backtest_hc.py from data/hc_stints.json (CFBD /coaches).
# Regime-level attribution: plays belong to the HC era, not a verified play-caller. Do not mix with movers_2019.csv.
coach,new_team,prior_stops,baseline_hc,verify_full_season
Dana Holgorsen,Houston,West Virginia:2014; West Virginia:2015; West Virginia:2016; West Virginia:2017; West Virginia:2018,Major Applewhite,
Gary Andersen,Utah State,Wisconsin:2014; Oregon State:2015; Oregon State:2016,Matt Wells (+ bowl interim: Frank Maile 1 g),
Geoff Collins,Georgia Tech,Temple:2017; Temple:2018,Paul Johnson,
Hugh Freeze,Liberty,Ole Miss:2014; Ole Miss:2015; Ole Miss:2016,Turner Gill,
Jim McElwain,Central Michigan,Colorado State:2014; Florida:2015; Florida:2016,John Bonamego,
Les Miles,Kansas,LSU:2014; LSU:2015,David Beaty,
Matt Wells,Texas Tech,Utah State:2014; Utah State:2015; Utah State:2016; Utah State:2017; Utah State:2018,Kliff Kingsbury,
Neal Brown,West Virginia,Troy:2015; Troy:2016; Troy:2017; Troy:2018,Dana Holgorsen,
Rod Carey,Temple,Northern Illinois:2014; Northern Illinois:2015; Northern Illinois:2016; Northern Illinois:2017; Northern Illinois:2018,Geoff Collins (+ bowl interim: Ed Foley 1 g),
# --- excluded candidates ---
# Scott Satterfield -> Louisville: baseline year not a single full-season HC regime: Bobby Petrino (10 g); Lorenzo Ward (2 g)
