# HC-regime movers, test year 2022 — auto-generated by backtest_hc.py from data/hc_stints.json (CFBD /coaches).
# Regime-level attribution: plays belong to the HC era, not a verified play-caller. Do not mix with movers_2022.csv.
coach,new_team,prior_stops,baseline_hc,verify_full_season
Billy Napier,Florida,Louisiana:2018; Louisiana:2019; Louisiana:2021,Dan Mullen (+ bowl interim: Greg Knox 1 g),
Brian Kelly,LSU,Notre Dame:2014; Notre Dame:2015; Notre Dame:2016; Notre Dame:2017; Notre Dame:2018; Notre Dame:2019; Notre Dame:2021,Ed Orgeron (+ bowl interim: Brad Davis 1 g),
Jay Norvell,Colorado State,Nevada:2017; Nevada:2018; Nevada:2019; Nevada:2021,Steve Addazio,
Jerry Kill,New Mexico State,Minnesota:2014,Doug Martin,
Jim Mora,UConn,UCLA:2014; UCLA:2015; UCLA:2016; UCLA:2017,Lou Spanos (+ bowl interim: Randy Edsall 2 g),
Lincoln Riley,USC,Oklahoma:2017; Oklahoma:2018; Oklahoma:2019; Oklahoma:2021,Donte Williams (+ bowl interim: Clay Helton 2 g),
Mario Cristobal,Miami,Oregon:2018; Oregon:2019; Oregon:2021,Manny Diaz,
Mike MacIntyre,Florida International,Colorado:2014; Colorado:2015; Colorado:2016; Colorado:2017; Colorado:2018,Butch Davis,
# --- excluded candidates ---
# Clay Helton -> Georgia Southern: baseline year not a single full-season HC regime: Chad Lunsford (4 g); Kevin Whitley (8 g)
# Joe Moorhead -> Akron: baseline year not a single full-season HC regime: Oscar Rodriguez (3 g); Tom Arth (9 g)
# Kalen DeBoer -> Washington: baseline year not a single full-season HC regime: Bob Gregory (3 g); Jimmy Lake (9 g)
# Mike Sanford Jr. -> Colorado: partial test-year season (7 games)
# Sonny Cumbie -> Louisiana Tech: 0 qualifying prior FBS HC seasons (min 1); raw prior seasons: Texas Tech 2021
# Sonny Dykes -> TCU: baseline year not a single full-season HC regime: Gary Patterson (8 g); Jerry Kill (4 g)
