# HC-regime movers, test year 2024 — auto-generated by backtest_hc.py from data/hc_stints.json (CFBD /coaches).
# Regime-level attribution: plays belong to the HC era, not a verified play-caller. Do not mix with movers_2024.csv.
coach,new_team,prior_stops,baseline_hc,verify_full_season
Brent Brennan,Arizona,San José State:2017; San José State:2018; San José State:2019; San José State:2021; San José State:2022; San José State:2023,Jedd Fisch,
Bronco Mendenhall,New Mexico,BYU:2014; BYU:2015; Virginia:2016; Virginia:2017; Virginia:2018; Virginia:2019; Virginia:2021,Danny Gonzales,
Bryant Vincent,UL Monroe,UAB:2022,Terry Bowden,
Curt Cignetti,Indiana,James Madison:2022; James Madison:2023,Tom Allen,
Derek Mason,Middle Tennessee,Vanderbilt:2014; Vanderbilt:2015; Vanderbilt:2016; Vanderbilt:2017; Vanderbilt:2018; Vanderbilt:2019,Rick Stockstill,
Jedd Fisch,Washington,Arizona:2021; Arizona:2022; Arizona:2023,Kalen DeBoer,
Jon Sumrall,Tulane,Troy:2022; Troy:2023,Willie Fritz (+ bowl interim: Slade Nagle 1 g),
Jonathan Smith,Michigan State,Oregon State:2018; Oregon State:2019; Oregon State:2021; Oregon State:2022; Oregon State:2023,Harlon Barnett (+ bowl interim: Mel Tucker 2 g),
Kalen DeBoer,Alabama,Fresno State:2021; Washington:2022; Washington:2023,Nick Saban,
Ken Niumatalolo,San José State,Navy:2014; Navy:2015; Navy:2016; Navy:2017; Navy:2018; Navy:2019; Navy:2021; Navy:2022,Brent Brennan,
Major Applewhite,South Alabama,Houston:2017; Houston:2018,Kane Wommack,
Manny Diaz,Duke,Miami:2019; Miami:2021,Mike Elko (+ bowl interim: Trooper Taylor 1 g),
Pete Lembo,Buffalo,Ball State:2014; Ball State:2015,Maurice Linguist,
Sean Lewis,San Diego State,Kent State:2018; Kent State:2019; Kent State:2021; Kent State:2022,Brady Hoke,
Tony Sanchez,New Mexico State,UNLV:2015; UNLV:2016; UNLV:2017; UNLV:2018; UNLV:2019,Jerry Kill,
Willie Fritz,Houston,Georgia Southern:2014; Georgia Southern:2015; Tulane:2016; Tulane:2017; Tulane:2018; Tulane:2019; Tulane:2021; Tulane:2022; Tulane:2023,Dana Holgorsen,
# --- excluded candidates ---
# Chad Lunsford -> Florida Atlantic: partial test-year season (2 games)
# Everett Withers -> Temple: partial test-year season (2 games)
# Gerad Parker -> Troy: 0 qualifying prior FBS HC seasons (min 1); raw prior seasons: Purdue 2016
# Mike Elko -> Texas A&M: baseline year not a single full-season HC regime: Elijah Robinson (3 g); Jimbo Fisher (10 g)
# Scotty Walden -> UTEP: 0 qualifying prior FBS HC seasons (min 1); raw prior seasons: Southern Miss 2020
