# HC-regime movers, test year 2015 — auto-generated by backtest_hc.py from data/hc_stints.json (CFBD /coaches).
# Regime-level attribution: plays belong to the HC era, not a verified play-caller. Do not mix with movers_2015.csv.
coach,new_team,prior_stops,baseline_hc,verify_full_season
Gary Andersen,Oregon State,Wisconsin:2014,Mike Riley,
Jim McElwain,Florida,Colorado State:2014,Will Muschamp (+ bowl interim: D.J. Durkin 1 g),
Mike Riley,Nebraska,Oregon State:2014,Bo Pelini,
Paul Chryst,Wisconsin,Pittsburgh:2014,Gary Andersen (+ bowl interim: Barry Alvarez 1 g),
# --- excluded candidates ---
