# HC-regime movers, test year 2017 — auto-generated by backtest_hc.py from data/hc_stints.json (CFBD /coaches).
# Regime-level attribution: plays belong to the HC era, not a verified play-caller. Do not mix with movers_2017.csv.
coach,new_team,prior_stops,baseline_hc,verify_full_season
Charlie Strong,South Florida,Texas:2014; Texas:2015; Texas:2016,Willie Taggart,
Matt Rhule,Baylor,Temple:2014; Temple:2015; Temple:2016,Jim Grobe,
P.J. Fleck,Minnesota,Western Michigan:2014; Western Michigan:2015; Western Michigan:2016,Tracy Claeys,
Randy Edsall,UConn,Maryland:2014,Bob Diaco,
Tom Herman,Texas,Houston:2015; Houston:2016,Charlie Strong,
Willie Taggart,Oregon,South Florida:2014; South Florida:2015; South Florida:2016,Mark Helfrich,
# --- excluded candidates ---
# Brady Hoke -> Tennessee: partial test-year season (2 games)
# Jeff Brohm -> Purdue: baseline year not a single full-season HC regime: Darrell Hazell (6 g); Gerad Parker (6 g)
# Shawn Elliott -> Georgia State: 0 qualifying prior FBS HC seasons (min 1); raw prior seasons: South Carolina 2015
