# HC-regime movers, test year 2025 — auto-generated by backtest_hc.py from data/hc_stints.json (CFBD /coaches).
# Regime-level attribution: plays belong to the HC era, not a verified play-caller. Do not mix with movers_2025.csv.
coach,new_team,prior_stops,baseline_hc,verify_full_season
Barry Odom,Purdue,Missouri:2016; Missouri:2017; Missouri:2018; Missouri:2019; UNLV:2023; UNLV:2024,Ryan Walters,YES — CFBD game counts missing for this year
Bronco Mendenhall,Utah State,BYU:2014; BYU:2015; Virginia:2016; Virginia:2017; Virginia:2018; Virginia:2019; Virginia:2021; New Mexico:2024,Nate Dreiling,YES — CFBD game counts missing for this year
Dan Mullen,UNLV,Mississippi State:2014; Mississippi State:2015; Mississippi State:2016; Mississippi State:2017; Florida:2018; Florida:2019; Florida:2021,Barry Odom,YES — CFBD game counts missing for this year
Jake Dickert,Wake Forest,Washington State:2022; Washington State:2023; Washington State:2024,Dave Clawson,YES — CFBD game counts missing for this year
K.C. Keeler,Temple,Sam Houston:2023; Sam Houston:2024,Stan Drayton (+ bowl interim: Everett Withers 2 g),YES — CFBD game counts missing for this year
Rich Rodriguez,West Virginia,Arizona:2014; Arizona:2015; Arizona:2016; Arizona:2017; Jacksonville State:2023; Jacksonville State:2024,Neal Brown (+ bowl interim: Chad Scott 1 g),YES — CFBD game counts missing for this year
Tim Albin,Charlotte,Ohio:2021; Ohio:2022; Ohio:2023; Ohio:2024,Biff Poggi (+ bowl interim: Tim Brewster 2 g),YES — CFBD game counts missing for this year
# --- excluded candidates ---
# Charles Huff -> Southern Miss: baseline year not a single full-season HC regime: Reed Stringer (5 g); Will Hall (7 g)
# --- post-run verification 2026-07-22 (web, sourced) ---
# All four verify_full_season movers CONFIRMED full 2025 seasons, no midseason HC changes:
# Barry Odom Purdue (all 12 games; si.com/purdue Dec 2025), Bronco Mendenhall Utah State
# (through Potato Bowl; deseret.com 12/24/2025), Dan Mullen UNLV (opener through Frisco Bowl,
# stayed despite Oct rumors; footballscoop.com 10/14/2025), Jake Dickert Wake Forest (full
# season + Mayo Bowl, extended 12/2/2025; godeacs.com). verdict_hc_2025 warning resolved.
