coach,new_team,metric,hc_dna_pred,program_pred,actual,hc_dna_err,program_err,n_hc,n_program,n_actual,usable,winner
Major Applewhite,South Alabama,explosive_pass_rate,0.1281,0.0606,0.1379,0.0099,0.0773,406,132,174,True,hc_dna
Manny Diaz,Duke,neutral_pass_rate,0.5562,0.444,0.5618,0.0056,0.1178,552,259,267,True,hc_dna
Manny Diaz,Duke,sec_per_play,22.9457,30.0,26.0,3.0543,4.0,387,240,295,True,hc_dna
Manny Diaz,Duke,fourth_down_go_rate,0.375,0.7143,0.1429,,,8,7,7,False,
Manny Diaz,Duke,explosive_pass_rate,0.1122,0.0683,0.0826,0.0296,0.0142,419,161,218,True,program
Pete Lembo,Buffalo,neutral_pass_rate,0.4242,0.3628,0.3992,0.025,0.0363,554,226,243,True,hc_dna
Pete Lembo,Buffalo,sec_per_play,25.6187,34.0,29.0,,,139,139,101,False,
Pete Lembo,Buffalo,fourth_down_go_rate,0.25,0.625,0.2,,,16,8,10,False,
Pete Lembo,Buffalo,explosive_pass_rate,0.0635,0.0698,0.1448,0.0813,0.0751,362,129,145,True,program
Sean Lewis,San Diego State,neutral_pass_rate,0.4072,0.3754,0.4715,0.0643,0.0961,1110,285,316,True,hc_dna
Sean Lewis,San Diego State,sec_per_play,21.7333,39.5,24.0,,,300,52,384,False,
Sean Lewis,San Diego State,fourth_down_go_rate,0.4074,0.3333,0.5556,,,27,9,9,False,
Sean Lewis,San Diego State,explosive_pass_rate,0.095,0.097,0.0487,0.0463,0.0483,621,165,226,True,hc_dna
Tony Sanchez,New Mexico State,neutral_pass_rate,0.3587,0.3892,0.3125,0.0462,0.0767,1299,370,224,True,hc_dna
Tony Sanchez,New Mexico State,sec_per_play,30.8333,40.0,35.0,,,108,97,105,False,
Tony Sanchez,New Mexico State,fourth_down_go_rate,0.4118,0.3333,0.5,,,34,6,6,False,
Tony Sanchez,New Mexico State,explosive_pass_rate,0.0742,0.1117,0.0769,0.0027,0.0348,674,197,117,True,hc_dna
Willie Fritz,Houston,neutral_pass_rate,0.3191,0.5285,0.355,0.0359,0.1735,2369,246,200,True,hc_dna
Willie Fritz,Houston,sec_per_play,29.5345,45.0,36.0,,,825,10,235,False,
Willie Fritz,Houston,fourth_down_go_rate,0.4375,0.6,0.6667,,,64,5,6,False,
Willie Fritz,Houston,explosive_pass_rate,0.1086,0.073,0.0727,0.0359,0.0003,1068,178,110,True,program
