coach,new_team,metric,coach_dna_pred,program_pred,actual,coach_dna_err,program_err,n_coach,n_program,n_actual,usable,winner
Chip Kelly,Ohio State,neutral_pass_rate,0.4088,0.4371,0.4849,0.0761,0.0478,1607,318,332,True,program
Chip Kelly,Ohio State,sec_per_play,25.5473,28.5,35.0,,,1100,138,259,False,
Chip Kelly,Ohio State,fourth_down_go_rate,0.5789,0.375,0.7,,,19,8,10,False,
Chip Kelly,Ohio State,explosive_pass_rate,0.1095,0.104,0.1318,0.0223,0.0279,959,202,220,True,coach_dna
Collin Klein,Texas A&M,neutral_pass_rate,0.4259,0.4177,0.3799,0.046,0.0378,648,328,279,True,program
Collin Klein,Texas A&M,sec_per_play,28.2883,29.0,31.0,2.7117,2.0,222,179,345,True,program
Collin Klein,Texas A&M,fourth_down_go_rate,0.4118,0.5,0.5,,,17,10,6,False,
Collin Klein,Texas A&M,explosive_pass_rate,0.1134,0.1422,0.121,0.0076,0.0211,388,204,157,True,coach_dna
Mike Denbrock,Notre Dame,neutral_pass_rate,0.49,0.4067,0.4106,0.0794,0.0038,647,268,341,True,program
Mike Denbrock,Notre Dame,sec_per_play,28.7504,34.0,34.0,5.2496,0.0,565,157,376,True,program
Mike Denbrock,Notre Dame,fourth_down_go_rate,0.5,0.6,0.625,,,8,5,8,False,
Mike Denbrock,Notre Dame,explosive_pass_rate,0.1214,0.1088,0.0595,0.0619,0.0494,412,147,185,True,program
Bush Hamdan,Kentucky,neutral_pass_rate,0.4021,0.495,0.3874,0.0147,0.1076,970,200,253,True,coach_dna
Bush Hamdan,Kentucky,sec_per_play,30.0789,34.5,34.0,,,596,90,298,False,
Bush Hamdan,Kentucky,fourth_down_go_rate,0.5385,0.3333,0.6,,,13,3,5,False,
Bush Hamdan,Kentucky,explosive_pass_rate,0.1288,0.0897,0.1087,0.0201,0.019,559,145,138,True,program
Jeff Lebby,Mississippi State,neutral_pass_rate,0.4479,0.4019,0.4031,0.0449,0.0012,1277,214,196,True,program
Jeff Lebby,Mississippi State,sec_per_play,20.1218,29.0,28.0,,,788,102,236,False,
Jeff Lebby,Mississippi State,fourth_down_go_rate,0.7714,0.5,0.4,,,35,6,5,False,
Jeff Lebby,Mississippi State,explosive_pass_rate,0.1292,0.0866,0.0744,0.0548,0.0122,774,127,121,True,program
Jeff Grimes,Kansas,neutral_pass_rate,0.4716,0.4296,0.4013,0.0703,0.0283,1758,291,314,True,program
Jeff Grimes,Kansas,sec_per_play,29.0194,35.0,35.5,6.4806,0.5,1234,273,268,True,program
Jeff Grimes,Kansas,fourth_down_go_rate,0.6604,0.25,0.75,,,53,4,4,False,
Jeff Grimes,Kansas,explosive_pass_rate,0.1068,0.1807,0.1104,0.0037,0.0703,1124,166,163,True,coach_dna
Jake Spavital,Baylor,neutral_pass_rate,0.5329,0.476,0.4572,0.0757,0.0187,835,229,269,True,program
Jake Spavital,Baylor,sec_per_play,26.6122,29.0,25.5,,,245,84,242,False,
Jake Spavital,Baylor,fourth_down_go_rate,0.6522,0.7143,0.75,,,23,7,4,False,
Jake Spavital,Baylor,explosive_pass_rate,0.0959,0.1184,0.1538,0.0579,0.0354,615,152,169,True,program
Kevin Barbay,Houston,neutral_pass_rate,0.4019,0.5285,0.355,0.0469,0.1735,214,246,200,True,coach_dna
Kevin Barbay,Houston,sec_per_play,29.0,45.0,36.0,,,102,10,235,False,
Kevin Barbay,Houston,fourth_down_go_rate,0.5,0.6,0.6667,,,6,5,6,False,
Kevin Barbay,Houston,explosive_pass_rate,0.0866,0.073,0.0727,0.0139,0.0003,127,178,110,True,program
Jedd Fisch,Washington,neutral_pass_rate,0.4948,0.5599,0.5032,0.0085,0.0567,859,384,310,True,coach_dna
Jedd Fisch,Washington,sec_per_play,28.2669,29.0,33.0,4.7331,4.0,532,347,325,True,program
Jedd Fisch,Washington,fourth_down_go_rate,0.7059,0.75,0.375,,,17,4,16,False,
Jedd Fisch,Washington,explosive_pass_rate,0.1109,0.1392,0.0876,0.0234,0.0516,613,273,217,True,coach_dna
Tim Beck,Vanderbilt,neutral_pass_rate,0.3982,0.487,0.3251,0.0731,0.1619,560,154,283,True,coach_dna
Tim Beck,Vanderbilt,sec_per_play,36.9708,27.0,41.0,,,171,47,294,False,
Tim Beck,Vanderbilt,fourth_down_go_rate,0.5556,0.5,0.4,,,9,4,5,False,
Tim Beck,Vanderbilt,explosive_pass_rate,0.1076,0.0776,0.0872,0.0203,0.0097,316,116,149,True,program
Brian Lindgren,Michigan State,neutral_pass_rate,0.3999,0.4468,0.437,0.0371,0.0098,1413,235,238,True,program
Brian Lindgren,Michigan State,sec_per_play,31.1094,33.0,38.0,,,512,103,232,False,
Brian Lindgren,Michigan State,fourth_down_go_rate,0.7083,0.5556,0.5,,,24,9,4,False,
Brian Lindgren,Michigan State,explosive_pass_rate,0.0915,0.0637,0.1149,0.0234,0.0512,820,157,148,True,coach_dna
Drew Cronic,Navy,neutral_pass_rate,0.4093,0.152,0.181,0.2283,0.029,474,250,210,True,program
Drew Cronic,Navy,sec_per_play,25.0455,30.0,34.0,,,66,30,211,False,
Drew Cronic,Navy,fourth_down_go_rate,0.6,0.3333,0.75,,,10,12,4,False,
Drew Cronic,Navy,explosive_pass_rate,0.1123,0.08,0.1385,,,276,75,65,False,
Zach Lujan,Northwestern,neutral_pass_rate,0.4277,0.4574,0.4852,0.0575,0.0277,491,282,270,True,program
Zach Lujan,Northwestern,sec_per_play,36.4737,22.0,37.0,,,171,68,275,False,
Zach Lujan,Northwestern,fourth_down_go_rate,0.4444,0.1429,0.3333,,,9,7,6,False,
Zach Lujan,Northwestern,explosive_pass_rate,0.1259,0.071,0.0904,0.0355,0.0194,270,183,177,True,program
Joe Craddock,Tulane,neutral_pass_rate,0.4532,0.4095,0.3498,0.1034,0.0597,1496,315,263,True,program
Joe Craddock,Tulane,sec_per_play,24.2346,30.0,33.0,,,439,129,334,False,
Joe Craddock,Tulane,fourth_down_go_rate,0.3667,0.2,0.8,,,30,10,5,False,
Joe Craddock,Tulane,explosive_pass_rate,0.0947,0.1223,0.1418,0.0471,0.0195,1003,188,134,True,program
Sean Lewis,San Diego State,neutral_pass_rate,0.4104,0.3754,0.4715,0.0611,0.0961,1194,285,316,True,coach_dna
Sean Lewis,San Diego State,sec_per_play,21.7459,39.5,24.0,,,303,52,384,False,
Sean Lewis,San Diego State,fourth_down_go_rate,0.4483,0.3333,0.5556,,,29,9,9,False,
Sean Lewis,San Diego State,explosive_pass_rate,0.0991,0.097,0.0487,0.0504,0.0483,666,165,226,True,program
