coach,new_team,metric,coach_dna_pred,program_pred,actual,coach_dna_err,program_err,n_coach,n_program,n_actual,usable,winner
Lincoln Riley,USC,neutral_pass_rate,0.4617,0.5658,0.5535,0.0917,0.0123,2025,304,374,True,program
Lincoln Riley,USC,sec_per_play,26.5148,25.0,28.0,1.4852,3.0,1999,317,374,True,coach_dna
Lincoln Riley,USC,fourth_down_go_rate,0.4074,1.0,1.0,,,27,2,2,False,
Lincoln Riley,USC,explosive_pass_rate,0.1553,0.0752,0.1273,0.028,0.0521,1217,226,275,True,coach_dna
Jeff Lebby,Oklahoma,neutral_pass_rate,0.4484,0.5258,0.4433,0.005,0.0824,649,291,300,True,coach_dna
Jeff Lebby,Oklahoma,sec_per_play,20.0,26.5,21.0,,,473,284,96,False,
Jeff Lebby,Oklahoma,fourth_down_go_rate,0.8571,0.8333,0.7778,,,21,6,9,False,
Jeff Lebby,Oklahoma,explosive_pass_rate,0.1224,0.1122,0.1027,0.0197,0.0095,384,205,185,True,program
Garrett Riley,TCU,neutral_pass_rate,0.5064,0.4327,0.4935,0.0129,0.0609,545,245,310,True,coach_dna
Garrett Riley,TCU,sec_per_play,23.7264,26.0,27.5,,,212,141,348,False,
Garrett Riley,TCU,fourth_down_go_rate,0.4167,,1.0,,,12,0,2,False,
Garrett Riley,TCU,explosive_pass_rate,0.1447,0.1477,0.1147,0.0301,0.033,380,149,218,True,coach_dna
Josh Gattis,Miami,neutral_pass_rate,0.4308,0.5602,0.5062,0.0754,0.054,701,266,243,True,program
Josh Gattis,Miami,sec_per_play,28.1601,20.0,29.0,0.8399,9.0,731,197,193,True,coach_dna
Josh Gattis,Miami,fourth_down_go_rate,0.6667,0.5,0.6,,,18,4,5,False,
Josh Gattis,Miami,explosive_pass_rate,0.1235,0.1366,0.1,0.0235,0.0366,421,205,160,True,coach_dna
Mike Denbrock,LSU,neutral_pass_rate,0.4594,0.5151,0.4748,0.0154,0.0403,1428,299,337,True,coach_dna
Mike Denbrock,LSU,sec_per_play,27.096,28.0,28.0,0.904,0.0,948,270,353,True,program
Mike Denbrock,LSU,fourth_down_go_rate,0.3043,0.6667,0.5,,,23,3,2,False,
Mike Denbrock,LSU,explosive_pass_rate,0.0898,0.0748,0.0892,0.0006,0.0144,913,214,213,True,coach_dna
Billy Napier,Florida,neutral_pass_rate,0.3992,0.4591,0.4028,0.0036,0.0563,1250,318,288,True,coach_dna
Billy Napier,Florida,sec_per_play,28.5009,25.0,29.0,0.4991,4.0,585,222,255,True,coach_dna
Billy Napier,Florida,fourth_down_go_rate,0.4848,0.3333,0.6667,,,33,9,6,False,
Billy Napier,Florida,explosive_pass_rate,0.1103,0.1173,0.1479,0.0376,0.0306,689,196,169,True,program
Zach Kittley,Texas Tech,neutral_pass_rate,0.7246,0.3913,0.5552,0.1694,0.1639,276,230,353,True,program
Zach Kittley,Texas Tech,sec_per_play,21.0,28.0,21.0,,,76,193,167,False,
Zach Kittley,Texas Tech,fourth_down_go_rate,0.5,0.0,0.625,,,2,6,8,False,
Zach Kittley,Texas Tech,explosive_pass_rate,0.1469,0.1066,0.087,0.06,0.0196,245,122,253,True,program
Barry Lunney Jr,Illinois,neutral_pass_rate,0.4694,0.2926,0.4041,0.0653,0.1115,637,311,391,True,coach_dna
Barry Lunney Jr,Illinois,sec_per_play,24.7978,33.0,27.0,,,178,137,257,False,
Barry Lunney Jr,Illinois,fourth_down_go_rate,0.5,0.0,0.5714,,,10,6,7,False,
Barry Lunney Jr,Illinois,explosive_pass_rate,0.1039,0.085,0.087,0.0169,0.002,414,153,230,True,program
Robert Anae,Syracuse,neutral_pass_rate,0.5413,0.3217,0.4774,0.0639,0.1558,1816,314,266,True,coach_dna
Robert Anae,Syracuse,sec_per_play,27.3141,29.0,29.0,1.6859,0.0,729,209,199,True,program
Robert Anae,Syracuse,fourth_down_go_rate,0.3548,0.4,0.3333,,,31,5,3,False,
Robert Anae,Syracuse,explosive_pass_rate,0.089,0.0449,0.0751,0.0138,0.0303,1326,156,173,True,coach_dna
Graham Harrell,West Virginia,neutral_pass_rate,0.5725,0.5377,0.436,0.1365,0.1017,1656,318,289,True,program
Graham Harrell,West Virginia,sec_per_play,25.1076,27.0,26.0,0.8924,1.0,846,230,160,True,coach_dna
Graham Harrell,West Virginia,fourth_down_go_rate,0.3571,0.75,0.75,,,28,4,8,False,
Graham Harrell,West Virginia,explosive_pass_rate,0.0928,0.0917,0.0833,0.0095,0.0084,1250,229,180,True,program
Frank Cignetti Jr,Pittsburgh,neutral_pass_rate,0.4234,0.5693,0.4132,0.0103,0.1562,555,339,380,True,coach_dna
Frank Cignetti Jr,Pittsburgh,sec_per_play,30.3625,24.0,34.0,3.6375,10.0,240,260,215,True,coach_dna
Frank Cignetti Jr,Pittsburgh,fourth_down_go_rate,0.5,0.5714,0.1429,,,6,7,7,False,
Frank Cignetti Jr,Pittsburgh,explosive_pass_rate,0.1235,0.1241,0.1019,0.0217,0.0222,340,266,216,True,coach_dna
Joe Moorhead,Akron,neutral_pass_rate,0.4348,0.4354,0.5848,0.1501,0.1494,1594,209,224,True,program
Joe Moorhead,Akron,sec_per_play,27.7915,34.0,26.0,,,1396,57,124,False,
Joe Moorhead,Akron,fourth_down_go_rate,0.3846,0.3333,0.2,,,26,3,10,False,
Joe Moorhead,Akron,explosive_pass_rate,0.1165,0.1094,0.0805,0.036,0.0289,927,128,174,True,program
Sonny Cumbie,Louisiana Tech,neutral_pass_rate,0.409,0.4227,0.5622,0.1533,0.1395,1406,317,217,True,program
Sonny Cumbie,Louisiana Tech,sec_per_play,25.3747,34.0,30.0,,,974,40,34,False,
Sonny Cumbie,Louisiana Tech,fourth_down_go_rate,0.1304,0.8,1.0,,,23,5,3,False,
Sonny Cumbie,Louisiana Tech,explosive_pass_rate,0.0873,0.0821,0.125,0.0377,0.0429,825,207,168,True,coach_dna
Ryan Grubb,Washington,neutral_pass_rate,0.5483,0.4591,0.6231,0.0749,0.1641,487,281,337,True,coach_dna
Ryan Grubb,Washington,sec_per_play,32.1446,31.0,29.0,,,83,237,231,False,
Ryan Grubb,Washington,fourth_down_go_rate,0.7143,0.2222,0.8,,,7,9,5,False,
Ryan Grubb,Washington,explosive_pass_rate,0.0883,0.0464,0.1077,0.0194,0.0613,351,194,260,True,coach_dna
Mark Whipple,Nebraska,neutral_pass_rate,0.5546,0.3801,0.4478,0.1068,0.0677,979,292,297,True,program
Mark Whipple,Nebraska,sec_per_play,24.4139,30.0,23.0,,,517,175,149,False,
Mark Whipple,Nebraska,fourth_down_go_rate,0.4667,0.5,0.0,,,15,6,7,False,
Mark Whipple,Nebraska,explosive_pass_rate,0.0978,0.1769,0.1269,0.0291,0.05,767,147,197,True,coach_dna
Chip Long,Georgia Tech,neutral_pass_rate,0.4516,0.3534,0.4411,0.0106,0.0877,1065,266,263,True,coach_dna
Chip Long,Georgia Tech,sec_per_play,23.1219,27.0,26.0,,,1099,125,125,False,
Chip Long,Georgia Tech,fourth_down_go_rate,0.5,0.75,0.1,,,24,4,10,False,
Chip Long,Georgia Tech,explosive_pass_rate,0.1031,0.1042,0.0595,0.0436,0.0446,669,144,168,True,coach_dna
Tim Cramsey,Memphis,neutral_pass_rate,0.474,0.5413,0.4604,0.0137,0.0809,1213,303,328,True,coach_dna
Tim Cramsey,Memphis,sec_per_play,24.7308,22.0,27.0,,,260,277,131,False,
Tim Cramsey,Memphis,fourth_down_go_rate,0.1739,0.3333,1.0,,,23,9,4,False,
Tim Cramsey,Memphis,explosive_pass_rate,0.1028,0.0995,0.1143,0.0115,0.0147,759,221,210,True,coach_dna
Kevin Johns,Duke,neutral_pass_rate,0.5043,0.4357,0.4662,0.0381,0.0305,575,241,296,True,program
Kevin Johns,Duke,sec_per_play,21.4352,24.0,33.0,,,386,79,161,False,
Kevin Johns,Duke,fourth_down_go_rate,0.5385,0.6,0.3333,,,13,5,6,False,
Kevin Johns,Duke,explosive_pass_rate,0.1171,0.1342,0.0924,0.0247,0.0418,410,149,184,True,coach_dna
David Yost,Florida International,neutral_pass_rate,0.5392,0.4455,0.5515,,,1059,202,136,False,
David Yost,Florida International,sec_per_play,19.2188,24.0,45.0,,,320,44,8,False,
David Yost,Florida International,fourth_down_go_rate,0.25,0.25,0.0,,,20,4,1,False,
David Yost,Florida International,explosive_pass_rate,0.0818,0.1471,0.0556,0.0263,0.0915,770,136,108,True,coach_dna
